governorate,bank,date,gender,sale_type,count
Al Bayda,Azal,2025-05-15,female,cash_sales,0.0
Al Bayda,Azal,2025-05-15,female,credit_sales,0.0
Al Bayda,Azal,2025-05-15,female,first_borrowers_only,0.0
Al Bayda,Azal,2025-05-15,male,cash_sales,0.0
Al Bayda,Azal,2025-05-15,male,credit_sales,0.0
Al Bayda,Azal,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,KIMB,2025-05-15,female,cash_sales,0.0
Al Bayda,KIMB,2025-05-15,female,credit_sales,
Al Bayda,KIMB,2025-05-15,female,first_borrowers_only,
Al Bayda,KIMB,2025-05-15,male,cash_sales,0.0
Al Bayda,KIMB,2025-05-15,male,credit_sales,0.0
Al Bayda,KIMB,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,NMF,2025-05-15,female,cash_sales,3.0
Al Bayda,NMF,2025-05-15,female,credit_sales,0.0
Al Bayda,NMF,2025-05-15,female,first_borrowers_only,0.0
Al Bayda,NMF,2025-05-15,male,cash_sales,6.0
Al Bayda,NMF,2025-05-15,male,credit_sales,0.0
Al Bayda,NMF,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,TIIB,2025-05-15,female,cash_sales,0.0
Al Bayda,TIIB,2025-05-15,female,credit_sales,0.0
Al Bayda,TIIB,2025-05-15,female,first_borrowers_only,0.0
Al Bayda,TIIB,2025-05-15,male,cash_sales,0.0
Al Bayda,TIIB,2025-05-15,male,credit_sales,0.0
Al Bayda,TIIB,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,YKB,2025-05-15,female,cash_sales,391.0
Al Bayda,YKB,2025-05-15,female,credit_sales,1.0
Al Bayda,YKB,2025-05-15,female,first_borrowers_only,0.0
Al Bayda,YKB,2025-05-15,male,cash_sales,11.0
Al Bayda,YKB,2025-05-15,male,credit_sales,0.0
Al Bayda,YKB,2025-05-15,male,first_borrowers_only,0.0
Al Dahle'e,AMB,2025-05-15,female,cash_sales,2.0
Al Dahle'e,AMB,2025-05-15,female,credit_sales,0.0
Al Dahle'e,AMB,2025-05-15,female,first_borrowers_only,0.0
Al Dahle'e,AMB,2025-05-15,male,cash_sales,220.0
Al Dahle'e,AMB,2025-05-15,male,credit_sales,0.0
Al Dahle'e,AMB,2025-05-15,male,first_borrowers_only,0.0
Al Dahle'e,AMP,2025-05-15,female,cash_sales,0.0
Al Dahle'e,AMP,2025-05-15,female,credit_sales,0.0
Al Dahle'e,AMP,2025-05-15,female,first_borrowers_only,0.0
Al Dahle'e,AMP,2025-05-15,male,cash_sales,0.0
Al Dahle'e,AMP,2025-05-15,male,credit_sales,0.0
Al Dahle'e,AMP,2025-05-15,male,first_borrowers_only,0.0
Al Dahle'e,Azal,2025-05-15,female,cash_sales,0.0
Al Dahle'e,Azal,2025-05-15,female,credit_sales,0.0
Al Dahle'e,Azal,2025-05-15,female,first_borrowers_only,0.0
Al Dahle'e,Azal,2025-05-15,male,cash_sales,0.0
